hospital_id,survey_id,overall_rating,comments,optional_fields_omitted
Hospital #5,S00094,4,"Very satisfied with treatment",1
Hospital #5,S00095,5,"Quick and efficient service",0
Hospital #5,S00096,4,"Quick and efficient service",1
Hospital #5,S00097,5,"Professional environment",0
Hospital #5,S00098,3,"Long wait time in ER",3
Hospital #5,S00099,1,"Poor communication about diagnosis",3
Hospital #5,S00100,1,"Long wait time in ER",3
Hospital #6,S00101,4,"Very satisfied with treatment",1
Hospital #6,S00102,4,"Nursing staff was attentive",0
Hospital #6,S00103,5,"Good experience overall",0
Hospital #6,S00104,5,"Nursing staff was attentive",0
Hospital #6,S00105,4,"Professional environment",1
Hospital #6,S00106,5,"Professional environment",1
Hospital #6,S00107,4,"Excellent care from Dr. Smith",0
Hospital #6,S00108,5,"Clean facilities",0
Hospital #6,S00109,4,"Clean facilities",0
Hospital #6,S00110,4,"Would recommend to friends",1
Hospital #6,S00111,4,"Professional environment",1
Hospital #6,S00112,5,"Good experience overall",0
Hospital #6,S00113,5,"Professional environment",1
Hospital #6,S00114,4,"Would recommend to friends",1
Hospital #6,S00115,5,"Professional environment",1
Hospital #6,S00116,4,"Would recommend to friends",1
Hospital #6,S00117,5,"Would recommend to friends",1
Hospital #6,S00118,1,"Discharged too early",3
Hospital #6,S00119,1,"Billing issues unresolved",3
Hospital #6,S00120,2,"Medication explanation unclear",3
Hospital #7,S00121,5,"Professional environment",0
Hospital #7,S00122,4,"Excellent care from Dr. Smith",0
Hospital #7,S00123,4,"Quick and efficient service",1
Hospital #7,S00124,5,"Quick and efficient service",0
Hospital #7,S00125,4,"Good experience overall",1
Hospital #7,S00126,4,"Would recommend to friends",1
Hospital #7,S00127,5,"Professional environment",1
Hospital #7,S00128,5,"Very satisfied with treatment",0
Hospital #7,S00129,4,"Nursing staff was attentive",1
Hospital #7,S00130,5,"Would recommend to friends",0
Hospital #7,S00131,4,"Very satisfied with treatment",0
Hospital #7,S00132,5,"Clean facilities",0
Hospital #7,S00133,5,"Professional environment",0
Hospital #7,S00134,4,"Very satisfied with treatment",0
Hospital #7,S00135,5,"Nursing staff was attentive",0
Hospital #7,S00136,5,"Clean facilities",1
Hospital #7,S00137,5,"Nursing staff was attentive",1
Hospital #7,S00138,1,"Long wait time in ER",3
Hospital #7,S00139,1,"Billing issues unresolved",3
Hospital #7,S00140,2,"Discharged too early",3
Hospital #8,S00141,5,"Professional environment",0
Hospital #8,S00142,4,"Excellent care from Dr. Smith",0
Hospital #8,S00143,4,"Professional environment",0
Hospital #8,S00144,5,"Would recommend to friends",1
Hospital #8,S00145,5,"Good experience overall",0
Hospital #8,S00146,5,"Excellent care from Dr. Smith",1
Hospital #8,S00147,4,"Professional environment",0
Hospital #8,S00148,4,"Very satisfied with treatment",1
Hospital #8,S00149,5,"Nursing staff was attentive",1
Hospital #8,S00150,5,"Would recommend to friends",0
Hospital #8,S00151,4,"Would recommend to friends",1
Hospital #8,S00152,4,"Quick and efficient service",0
Hospital #8,S00153,5,"Very satisfied with treatment",1
Hospital #8,S00154,5,"Quick and efficient service",1
Hospital #8,S00155,5,"Professional environment",1
Hospital #8,S00156,5,"Would recommend to friends",1
Hospital #8,S00157,5,"Professional environment",1
Hospital #8,S00158,3,"Unresolved complaints",3
Hospital #8,S00159,3,"Billing issues unresolved",3
Hospital #8,S00160,2,"Poor communication about diagnosis",3
Hospital #9,S00161,5,"Good experience overall",1
Hospital #9,S00162,5,"Nursing staff was attentive",1
Hospital #9,S00163,5,"Professional environment",1
Hospital #9,S00164,5,"Would recommend to friends",1
Hospital #9,S00165,5,"Clean facilities",1
Hospital #9,S00166,4,"Very satisfied with treatment",1
Hospital #9,S00167,5,"Very satisfied with treatment",0
Hospital #9,S00168,5,"Quick and efficient service",0
Hospital #9,S00169,4,"Would recommend to friends",1
Hospital #9,S00170,5,"Quick and efficient service",0
Hospital #9,S00171,4,"Professional environment",1
Hospital #9,S00172,4,"Professional environment",0
Hospital #9,S00173,5,"Would recommend to friends",1
Hospital #9,S00174,4,"Clean facilities",0
Hospital #9,S00175,4,"Very satisfied with treatment",0
Hospital #9,S00176,4,"Nursing staff was attentive",0
Hospital #9,S00177,5,"Very satisfied with treatment",1
Hospital #9,S00178,1,"Long wait time in ER",3
Hospital #9,S00179,3,"Discharged too early",3
Hospital #9,S00180,1,"Billing issues unresolved",3
Hospital #10,S00181,4,"Good experience overall",0
Hospital #10,S00182,5,"Very satisfied with treatment",0
Hospital #10,S00183,4,"Nursing staff was attentive",1
Hospital #10,S00184,4,"Good experience overall",1
Hospital #10,S00185,4,"Clean facilities",0
Hospital #10,S00186,5,"Quick and efficient service",1
Hospital #10,S00187,5,"Good experience overall",0
Hospital #10,S00188,4,"Good experience overall",0
Hospital #10,S00189,5,"Clean facilities",0
Hospital #10,S00190,5,"Quick and efficient service",1
Hospital #10,S00191,5,"Good experience overall",1
Hospital #10,S00192,4,"Quick and efficient service",0
Hospital #10,S00193,4,"Good experience overall",0
Hospital #10,S00194,4,"Clean facilities",1
Hospital #10,S00195,5,"Would recommend to friends",0
Hospital #10,S00196,4,"Very satisfied with treatment",0
Hospital #10,S00197,5,"Quick and efficient service",0
Hospital #10,S00198,3,"Long wait time in ER",3
Hospital #10,S00199,3,"Long wait time in ER",3
Hospital #10,S00200,3,"Poor communication about diagnosis",3
Hospital #11,S00201,4,"Nursing staff was attentive",0
Hospital #11,S00202,5,"Very satisfied with treatment",0
Hospital #11,S00203,5,"Very satisfied with treatment",0
Hospital #11,S00204,5,"Clean facilities",0
Hospital #11,S00205,4,"Would recommend to friends",1
Hospital #11,S00206,5,"Clean facilities",1
Hospital #11,S00207,4,"Would recommend to friends",0
Hospital #11,S00208,4,"Nursing staff was attentive",1
Hospital #11,S00209,5,"Excellent care from Dr. Smith",0
Hospital #11,S00210,5,"Good experience overall",1
Hospital #11,S00211,5,"Clean facilities",0
Hospital #11,S00212,5,"Clean facilities",1
Hospital #11,S00213,4,"Good experience overall",0
Hospital #11,S00214,4,"Professional environment",1
Hospital #11,S00215,5,"Quick and efficient service",0
Hospital #11,S00216,5,"Professional environment",1
Hospital #11,S00217,4,"Quick and efficient service",1
Hospital #11,S00218,2,"Billing issues unresolved",3
Hospital #11,S00219,3,"Discharged too early",3
Hospital #11,S00220,1,"Average service at best",3
Hospital #12,S00221,5,"Professional environment",0
Hospital #12,S00222,5,"Clean facilities",1
Hospital #12,S00223,5,"Nursing staff was attentive",0
Hospital #12,S00224,5,"Clean facilities",1
Hospital #12,S00225,5,"Quick and efficient service",0
Hospital #12,S00226,4,"Professional environment",0
Hospital #12,S00227,5,"Clean facilities",0
Hospital #12,S00228,4,"Excellent care from Dr. Smith",0
Hospital #12,S00229,5,"Clean facilities",1
Hospital #12,S00230,5,"Excellent care from Dr. Smith",1
Hospital #12,S00231,5,"Clean facilities",1
Hospital #12,S00232,5,"Excellent care from Dr. Smith",0
Hospital #12,S00233,5,"Excellent care from Dr. Smith",0
Hospital #12,S00234,4,"Clean facilities",0
Hospital #12,S00235,5,"Very satisfied with treatment",1
Hospital #12,S00236,4,"Clean facilities",1
Hospital #12,S00237,5,"Excellent care from Dr. Smith",0
Hospital #12,S00238,1,"Discharged too early",3
Hospital #12,S00239,2,"Billing issues unresolved",3
Hospital #12,S00240,1,"Long wait time in ER",3
Hospital #13,S00241,5,"Good experience overall",0
Hospital #13,S00242,5,"Quick and efficient service",1
Hospital #13,S00243,4,"Quick and efficient service",1
Hospital #13,S00244,4,"Would recommend to friends",1
Hospital #13,S00245,5,"Professional environment",0
Hospital #13,S00246,5,"Clean facilities",1
Hospital #13,S00247,5,"Professional environment",0
Hospital #13,S00248,4,"Clean facilities",0
Hospital #13,S00249,5,"Would recommend to friends",1
Hospital #13,S00250,4,"Quick and efficient service",0
Hospital #13,S00251,4,"Would recommend to friends",0
Hospital #13,S00252,5,"Very satisfied with treatment",0
Hospital #13,S00253,4,"Very satisfied with treatment",1
Hospital #13,S00254,5,"Clean facilities",1
Hospital #13,S00255,5,"Good experience overall",0
Hospital #13,S00256,4,"Professional environment",0
Hospital #13,S00257,5,"Nursing staff was attentive",1
Hospital #13,S00258,3,"Unresolved complaints",3
Hospital #13,S00259,2,"Poor communication about diagnosis",3
Hospital #13,S00260,3,"Poor communication about diagnosis",3
Hospital #14,S00261,5,"Excellent care from Dr. Smith",0
Hospital #14,S00262,5,"Nursing staff was attentive",1
Hospital #14,S00263,4,"Excellent care from Dr. Smith",0
Hospital #14,S00264,4,"Good experience overall",0
Hospital #14,S00265,4,"Good experience overall",1
Hospital #14,S00266,5,"Quick and efficient service",0
Hospital #14,S00267,4,"Excellent care from Dr. Smith",1
Hospital #14,S00268,4,"Professional environment",0
Hospital #14,S00269,5,"Professional environment",0
Hospital #14,S00270,4,"Excellent care from Dr. Smith",1
Hospital #14,S00271,5,"Quick and efficient service",1
Hospital #14,S00272,5,"Quick and efficient service",0
Hospital #14,S00273,4,"Quick and efficient service",0
Hospital #14,S00274,4,"Excellent care from Dr. Smith",1
Hospital #14,S00275,5,"Good experience overall",1
Hospital #14,S00276,5,"Professional environment",1
Hospital #14,S00277,5,"Quick and efficient service",1
Hospital #14,S00278,3,"Long wait time in ER",3
Hospital #14,S00279,2,"Long wait time in ER",3
Hospital #14,S00280,1,"Billing issues unresolved",3
Hospital #15,S00281,4,"Nursing staff was attentive",0
Hospital #15,S00282,5,"Excellent care from Dr. Smith",0
Hospital #15,S00283,5,"Would recommend to friends",0
Hospital #15,S00284,4,"Excellent care from Dr. Smith",0
Hospital #15,S00285,5,"Clean facilities",0
Hospital #15,S00286,4,"Nursing staff was attentive",0
Hospital #15,S00287,5,"Good experience overall",0
Hospital #15,S00288,4,"Good experience overall",0
Hospital #15,S00289,4,"Quick and efficient service",0
Hospital #15,S00290,5,"Quick and efficient service",0
Hospital #15,S00291,5,"Good experience overall",1
Hospital #15,S00292,4,"Good experience overall",1
Hospital #15,S00293,5,"Excellent care from Dr. Smith",0
Hospital #15,S00294,4,"Good experience overall",1
Hospital #15,S00295,4,"Professional environment",0
Hospital #15,S00296,4,"Quick and efficient service",0
Hospital #15,S00297,5,"Professional environment",1
Hospital #15,S00298,1,"Billing issues unresolved",3
Hospital #15,S00299,3,"Billing issues unresolved",3
Hospital #15,S00300,2,"Medication explanation unclear",3
Hospital #16,S00301,4,"Excellent care from Dr. Smith",1
Hospital #16,S00302,5,"Excellent care from Dr. Smith",1
Hospital #16,S00303,4,"Nursing staff was attentive",1
Hospital #16,S00304,5,"Very satisfied with treatment",1
Hospital #16,S00305,4,"Very satisfied with treatment",0
Hospital #16,S00306,5,"Clean facilities",0
Hospital #16,S00307,5,"Excellent care from Dr. Smith",1
Hospital #16,S00308,4,"Quick and efficient service",1
Hospital #16,S00309,4,"Excellent care from Dr. Smith",0
Hospital #16,S00310,5,"Very satisfied with treatment",0
Hospital #16,S00311,5,"Would recommend to friends",1
Hospital #16,S00312,4,"Very satisfied with treatment",1
Hospital #16,S00313,4,"Would recommend to friends",0
Hospital #16,S00314,4,"Would recommend to friends",0
Hospital #16,S00315,4,"Excellent care from Dr. Smith",1
Hospital #16,S00316,4,"Quick and efficient service",0
Hospital #16,S00317,4,"Quick and efficient service",0
Hospital #16,S00318,1,"Billing issues unresolved",3
Hospital #16,S00319,1,"Long wait time in ER",3
Hospital #16,S00320,2,"Billing issues unresolved",3
Hospital #17,S00321,4,"Nursing staff was attentive",1
Hospital #17,S00322,5,"Good experience overall",0
Hospital #17,S00323,4,"Clean facilities",1
Hospital #17,S00324,5,"Would recommend to friends",0
Hospital #17,S00325,4,"Professional environment",1
Hospital #17,S00326,4,"Quick and efficient service",1
Hospital #17,S00327,4,"Very satisfied with treatment",1
Hospital #17,S00328,5,"Clean facilities",1
Hospital #17,S00329,5,"Professional environment",0
Hospital #17,S00330,4,"Professional environment",1
Hospital #17,S00331,4,"Quick and efficient service",0
Hospital #17,S00332,5,"Clean facilities",0
Hospital #17,S00333,4,"Would recommend to friends",1
Hospital #17,S00334,5,"Clean facilities",0
Hospital #17,S00335,5,"Clean facilities",0
Hospital #17,S00336,5,"Excellent care from Dr. Smith",0
Hospital #17,S00337,5,"Good experience overall",1
Hospital #17,S00338,3,"Medication explanation unclear",3
Hospital #17,S00339,1,"Rude front desk staff",3
Hospital #17,S00340,2,"Average service at best",3
Hospital #18,S00341,5,"Would recommend to friends",1
Hospital #18,S00342,4,"Quick and efficient service",1
Hospital #18,S00343,4,"Professional environment",0
Hospital #18,S00344,4,"Quick and efficient service",1
Hospital #18,S00345,4,"Would recommend to friends",0
Hospital #18,S00346,5,"Would recommend to friends",0
Hospital #18,S00347,5,"Clean facilities",0
Hospital #18,S00348,4,"Nursing staff was attentive",0
Hospital #18,S00349,5,"Good experience overall",0
Hospital #18,S00350,5,"Would recommend to friends",1
Hospital #18,S00351,5,"Nursing staff was attentive",0
Hospital #18,S00352,4,"Would recommend to friends",0
Hospital #18,S00353,4,"Quick and efficient service",0
Hospital #18,S00354,5,"Nursing staff was attentive",1
Hospital #18,S00355,4,"Clean facilities",1
Hospital #18,S00356,5,"Good experience overall",0
Hospital #18,S00357,5,"Quick and efficient service",1
Hospital #18,S00358,3,"Average service at best",3
Hospital #18,S00359,1,"Poor communication about diagnosis",3
Hospital #18,S00360,2,"Discharged too early",3
Hospital #19,S00361,4,"Good experience overall",0
Hospital #19,S00362,5,"Quick and efficient service",0
Hospital #19,S00363,4,"Very satisfied with treatment",0
Hospital #19,S00364,4,"Clean facilities",0
Hospital #19,S00365,4,"Good experience overall",1
Hospital #19,S00366,4,"Would recommend to friends",0
Hospital #19,S00367,5,"Clean facilities",0
Hospital #19,S00368,4,"Clean facilities",0
Hospital #19,S00369,5,"Clean facilities",0
Hospital #19,S00370,4,"Professional environment",1
Hospital #19,S00371,5,"Excellent care from Dr. Smith",1
Hospital #19,S00372,5,"Professional environment",1
Hospital #19,S00373,4,"Quick and efficient service",0
Hospital #19,S00374,4,"Good experience overall",1
Hospital #19,S00375,4,"Nursing staff was attentive",1
Hospital #19,S00376,4,"Would recommend to friends",1
Hospital #19,S00377,4,"Clean facilities",0
Hospital #19,S00378,1,"Medication explanation unclear",3
Hospital #19,S00379,3,"Discharged too early",3
Hospital #19,S00380,2,"Discharged too early",3
Hospital #20,S00381,5,"Professional environment",0
Hospital #20,S00382,4,"Nursing staff was attentive",0
Hospital #20,S00383,4,"Good experience overall",0
Hospital #20,S00384,4,"Nursing staff was attentive",0
Hospital #20,S00385,4,"Professional environment",0
Hospital #20,S00386,4,"Very satisfied with treatment",1
Hospital #20,S00387,4,"Very satisfied with treatment",0
Hospital #20,S00388,5,"Nursing staff was attentive",1
Hospital #20,S00389,5,"Would recommend to friends",0
Hospital #20,S00390,5,"Good experience overall",0
Hospital #20,S00391,4,"Professional environment",1
Hospital #20,S00392,4,"Good experience overall",0
Hospital #20,S00393,5,"Nursing staff was attentive",0
Hospital #20,S00394,5,"Clean facilities",1
Hospital #20,S00395,5,"Quick and efficient service",1
Hospital #20,S00396,4,"Quick and efficient service",0
Hospital #20,S00397,5,"Excellent care from Dr. Smith",0
Hospital #20,S00398,3,"Medication explanation unclear",3
Hospital #20,S00399,3,"Medication explanation unclear",3
Hospital #20,S00400,2,"Rude front desk staff",3
Hospital #21,S00401,4,"Nursing staff was attentive",1
Hospital #21,S00402,4,"Clean facilities",1
Hospital #21,S00403,5,"Excellent care from Dr. Smith",1
Hospital #21,S00404,4,"Would recommend to friends",0
Hospital #21,S00405,5,"Nursing staff was attentive",1
Hospital #21,S00406,5,"Very satisfied with treatment",1
Hospital #21,S00407,4,"Very satisfied with treatment",1
Hospital #21,S00408,5,"Quick and efficient service",1
Hospital #21,S00409,5,"Quick and efficient service",0
Hospital #21,S00410,5,"Clean facilities",0
Hospital #21,S00411,4,"Would recommend to friends",1
Hospital #21,S00412,4,"Professional environment",0
Hospital #21,S00413,5,"Professional environment",0
Hospital #21,S00414,5,"Excellent care from Dr. Smith",1
Hospital #21,S00415,5,"Professional environment",0
Hospital #21,S00416,5,"Clean facilities",1
Hospital #21,S00417,5,"Quick and efficient service",1
Hospital #21,S00418,2,"Rude front desk staff",3
Hospital #21,S00419,3,"Poor communication about diagnosis",3
Hospital #21,S00420,2,"Unresolved complaints",3
Hospital #22,S00421,5,"Good experience overall",0
Hospital #22,S00422,5,"Nursing staff was attentive",0
Hospital #22,S00423,4,"Clean facilities",1
Hospital #22,S00424,4,"Very satisfied with treatment",1
Hospital #22,S00425,5,"Professional environment",1
Hospital #22,S00426,4,"Would recommend to friends",1
Hospital #22,S00427,5,"Clean facilities",0
Hospital #22,S00428,4,"Very satisfied with treatment",0
Hospital #22,S00429,4,"Would recommend to friends",1
Hospital #22,S00430,5,"Quick and efficient service",0
Hospital #22,S00431,5,"Would recommend to friends",0
Hospital #22,S00432,4,"Nursing staff was attentive",1
Hospital #22,S00433,4,"Professional environment",0
Hospital #22,S00434,4,"Good experience overall",1
Hospital #22,S00435,5,"Would recommend to friends",0
Hospital #22,S00436,4,"Excellent care from Dr. Smith",0
Hospital #22,S00437,5,"Would recommend to friends",1
Hospital #22,S00438,3,"Unresolved complaints",3
Hospital #22,S00439,3,"Average service at best",3
Hospital #22,S00440,3,"Medication explanation unclear",3
Hospital #23,S00441,5,"Professional environment",1
Hospital #23,S00442,5,"Would recommend to friends",0
Hospital #23,S00443,5,"Professional environment",1
Hospital #23,S00444,5,"Quick and efficient service",1
Hospital #23,S00445,5,"Excellent care from Dr. Smith",1
Hospital #23,S00446,4,"Would recommend to friends",0
Hospital #23,S00447,5,"Excellent care from Dr. Smith",0
Hospital #23,S00448,5,"Quick and efficient service",0
Hospital #23,S00449,5,"Professional environment",1
Hospital #23,S00450,4,"Professional environment",1
Hospital #23,S00451,4,"Very satisfied with treatment",1
Hospital #23,S00452,5,"Quick and efficient service",0
Hospital #23,S00453,5,"Would recommend to friends",0
Hospital #23,S00454,5,"Good experience overall",0
Hospital #23,S00455,4,"Excellent care from Dr. Smith",0
Hospital #23,S00456,5,"Nursing staff was attentive",1
Hospital #23,S00457,4,"Good experience overall",1
Hospital #23,S00458,3,"Average service at best",3
Hospital #23,S00459,3,"Average service at best",3
Hospital #23,S00460,2,"Medication explanation unclear",3
Hospital #24,S00461,5,"Quick and efficient service",0
Hospital #24,S00462,5,"Quick and efficient service",1
Hospital #24,S00463,4,"Clean facilities",1
Hospital #24,S00464,5,"Clean facilities",0
Hospital #24,S00465,5,"Good experience overall",1
Hospital #24,S00466,5,"Very satisfied with treatment",1
Hospital #24,S00467,5,"Good experience overall",0
Hospital #24,S00468,5,"Nursing staff was attentive",0
Hospital #24,S00469,5,"Good experience overall",0
Hospital #24,S00470,4,"Good experience overall",1
Hospital #24,S00471,5,"Excellent care from Dr. Smith",1
Hospital #24,S00472,4,"Would recommend to friends",1
Hospital #24,S00473,4,"Excellent care from Dr. Smith",0
Hospital #24,S00474,4,"Would recommend to friends",1
Hospital #24,S00475,5,"Clean facilities",1
Hospital #24,S00476,4,"Very satisfied with treatment",0
Hospital #24,S00477,4,"Very satisfied with treatment",0
Hospital #24,S00478,1,"Long wait time in ER",3
Hospital #24,S00479,3,"Discharged too early",3
Hospital #24,S00480,2,"Average service at best",3
Hospital #25,S00481,5,"Quick and efficient service",0
Hospital #25,S00482,4,"Quick and efficient service",0
Hospital #25,S00483,4,"Very satisfied with treatment",1
Hospital #25,S00484,5,"Would recommend to friends",1
Hospital #25,S00485,5,"Would recommend to friends",1
Hospital #25,S00486,5,"Very satisfied with treatment",0
Hospital #25,S00487,4,"Clean facilities",0
Hospital #25,S00488,5,"Clean facilities",1
Hospital #25,S00489,5,"Professional environment",1
Hospital #25,S00490,4,"Very satisfied with treatment",0
Hospital #25,S00491,4,"Excellent care from Dr. Smith",0
Hospital #25,S00492,4,"Nursing staff was attentive",0
Hospital #25,S00493,5,"Nursing staff was attentive",0
Hospital #25,S00494,4,"Excellent care from Dr. Smith",0
Hospital #25,S00495,4,"Quick and efficient service",1
Hospital #25,S00496,5,"Nursing staff was attentive",0
Hospital #25,S00497,5,"Professional environment",1
Hospital #25,S00498,1,"Billing issues unresolved",3
Hospital #25,S00499,1,"Average service at best",3
Hospital #25,S00500,1,"Long wait time in ER",3
Hospital #26,S00501,5,"Would recommend to friends",0
Hospital #26,S00502,5,"Excellent care from Dr. Smith",0
Hospital #26,S00503,4,"Clean facilities",1
Hospital #26,S00504,4,"Good experience overall",0
Hospital #26,S00505,5,"Clean facilities",0
Hospital #26,S00506,5,"Would recommend to friends",0
Hospital #26,S00507,5,"Nursing staff was attentive",1
Hospital #26,S00508,5,"Very satisfied with treatment",1
Hospital #26,S00509,5,"Nursing staff was attentive",0
Hospital #26,S00510,5,"Nursing staff was attentive",0
Hospital #26,S00511,5,"Excellent care from Dr. Smith",1
Hospital #26,S00512,4,"Excellent care from Dr. Smith",1
Hospital #26,S00513,5,"Very satisfied with treatment",0
Hospital #26,S00514,5,"Would recommend to friends",1
Hospital #26,S00515,5,"Nursing staff was attentive",0
Hospital #26,S00516,4,"Nursing staff was attentive",1
Hospital #26,S00517,5,"Good experience overall",0
Hospital #26,S00518,2,"Long wait time in ER",3
Hospital #26,S00519,2,"Billing issues unresolved",3
Hospital #26,S00520,2,"Average service at best",3
Hospital #27,S00521,4,"Nursing staff was attentive",0
Hospital #27,S00522,4,"Nursing staff was attentive",1
Hospital #27,S00523,4,"Would recommend to friends",1
Hospital #27,S00524,4,"Nursing staff was attentive",1
Hospital #27,S00525,5,"Excellent care from Dr. Smith",1
Hospital #27,S00526,4,"Quick and efficient service",0
Hospital #27,S00527,4,"Nursing staff was attentive",0
Hospital #27,S00528,5,"Good experience overall",1
Hospital #27,S00529,5,"Professional environment",1
Hospital #27,S00530,4,"Good experience overall",0
Hospital #27,S00531,4,"Nursing staff was attentive",1
Hospital #27,S00532,5,"Quick and efficient service",1
Hospital #27,S00533,4,"Good experience overall",1
Hospital #27,S00534,5,"Very satisfied with treatment",0
Hospital #27,S00535,5,"Quick and efficient service",0
Hospital #27,S00536,4,"Quick and efficient service",0
Hospital #27,S00537,5,"Quick and efficient service",1
Hospital #27,S00538,1,"Medication explanation unclear",3
Hospital #27,S00539,3,"Rude front desk staff",3
Hospital #27,S00540,3,"Medication explanation unclear",3
Hospital #28,S00541,4,"Good experience overall",1
Hospital #28,S00542,4,"Clean facilities",0
Hospital #28,S00543,4,"Nursing staff was attentive",0
Hospital #28,S00544,4,"Professional environment",0
Hospital #28,S00545,5,"Would recommend to friends",1
Hospital #28,S00546,5,"Clean facilities",1
Hospital #28,S00547,4,"Excellent care from Dr. Smith",1
Hospital #28,S00548,4,"Would recommend to friends",0
Hospital #28,S00549,5,"Would recommend to friends",0
Hospital #28,S00550,5,"Very satisfied with treatment",1
Hospital #28,S00551,4,"Clean facilities",1
Hospital #28,S00552,4,"Quick and efficient service",1
Hospital #28,S00553,4,"Quick and efficient service",1
Hospital #28,S00554,4,"Quick and efficient service",1
Hospital #28,S00555,5,"Would recommend to friends",1
Hospital #28,S00556,5,"Clean facilities",0
